,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
1526,1526,17,10,11,70.62,6.42,50,10,"Eldin Jakupovic,Omar Elabdellaoui,Andrea Ranocchia,Harry Maguire,Andrew Robertson,Tom Huddlestone,Lazar Markovic,Alfred N'Diaye,Sam Clucas,Kamil Grosicki,Oumar Niasse",0,1,54.17,12,25,6.28,4,0,6,0.52,10,1,11,75,3,9,2,3,2,77.08,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Shkodran Mustafi,Kieran Gibbs,Francis Coquelin,Alex Oxlade-Chamberlain,Theo Walcott,Mesut Özil,Alex Iwobi,Alexis Sánchez",69.94,6,7,25,2,8,69.23,1,4231,11,7,Mark Clattenburg,7,0.49,9,0,Marco Silva,21,11,1,57.14,2,19,17,55.7,Hull,10,0,17,4,4141,0,6,4,17,68.53,4,8,Arsenal,Arsène Wenger,9,7,12,6.27,2,32,7,0,5,4,0.48,Emirates Stadium,21,9,71.73,11-02-17,32,6.56,22,68.52,0.51,9,EPL
1687,1687,16,13,10,61.65,6.24,64.44,9,"Hugo Lloris,Kyle Walker,Toby Alderweireld,Eric Dier,Ben Davies,Mousa Dembélé,Victor Wanyama,Christian Eriksen,Dele Alli,Son Heung-Min,Harry Kane",0,5,21.43,14,31,6.51,2,1,3,0.46,11,2,13,86.36,10,14,4,2,7,32.14,"Simon Mignolet,Nathaniel Clyne,Lucas Leiva,Joel Matip,James Milner,Georginio Wijnaldum,Adam Lallana,Jordan Henderson,Sadio Mané,Roberto Firmino,Philippe Coutinho",59.16,6,4,31,3,5,71.21,4,433,5,7,Anthony Taylor,3,0.51,14,0,Mauricio Pochettino,11,13,2,61.11,2,13,6,80.95,Tottenham Hotspur,10,1,6,8,4231,0,6,5,17,60.75,5,3,Liverpool,Jürgen Klopp,14,9,9,6.08,0,30,3,0,9,2,0.54,Anfield,20,12,68.3,11-02-17,26,6.74,16,60.14,0.49,7,EPL
1725,1725,18,14,16,65.26,6.3,47.5,7,"Heurelho Gomes,Sebastian Prödl,Younes Kaboul,Miguel Britos,Craig Cathcart,Etienne Capoue,Tom Cleverley,José Holebas,Mauro Zárate,M'Baye Niang,Troy Deeney",0,3,61.9,10,24,6.48,3,1,8,0.37,20,1,10,49.02,5,12,4,0,2,62.7,"David de Gea,Antonio Valencia,Chris Smalling,Eric Bailly,Daley Blind,Paul Pogba,Ander Herrera,Juan Mata,Henrikh Mkhitaryan,Anthony Martial,Zlatan Ibrahimovic",55.62,2,3,24,2,7,89.29,2,4231,13,11,Robert Madley,11,0.58,12,0,Walter Mazzarri,21,10,1,33.33,2,21,17,50,Watford,6,0,17,7,3421,0,2,7,22,78.6,1,1,Manchester United,José Mourinho,12,11,18,6.2,2,38,11,0,13,5,0.63,Old Trafford,22,11,80.79,11-02-17,34,6.93,28,73.44,0.42,9,EPL
1733,1733,15,2,17,69.4,6.43,43.75,8,"Joel Robles,Seamus Coleman,Ramiro Funes Mori,Ashley Williams,Leighton Baines,Morgan Schneiderlin,Idrissa Gueye,Tom Davies,Ross Barkley,Romelu Lukaku,Ademola Lookman",1,4,70,14,48,6.21,3,1,6,0.57,8,2,7,73.08,5,21,2,1,2,76.92,"Víctor Valdés,Calum Chambers,Bernardo,Ben Gibson,Fabio,Marten de Roon,Adam Forshaw,Adam Clayton,Adama Traoré,Álvaro Negredo,Cristhian Stuani",81.45,5,8,48,0,7,62.5,4,433,10,7,Mike Dean,6,0.46,21,0,Ronald Koeman,15,7,0,62.5,0,16,15,69.17,Everton,20,2,15,1,433,2,5,5,9,62.95,4,2,Middlesbrough,Aitor Karanka,9,3,8,6.23,0,33,6,0,1,0,0.43,Riverside Stadium,16,11,62.82,11-02-17,39,6.45,19,75.93,0.54,7,EPL
1770,1770,11,6,13,62.65,6.3,30,4,"Wayne Hennessey,Joel Ward,Damien Delaney,James Tomkins,Patrick van Aanholt,Luka Milivojevic,James McArthur,Wilfried Zaha,Jason Puncheon,Andros Townsend,Christian Benteke",0,3,50,10,45,6.23,1,1,8,0.34,6,1,5,77.78,5,26,1,0,4,50,"Lee Grant,Phil Bardsley,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Glenn Whelan,Charlie Adam,Marko Arnautovic,Joe Allen,Ramadan Sobhi,Peter Crouch",58.6,1,5,45,1,5,95,3,4231,5,7,Martin Atkinson,2,0.57,26,0,Sam Allardyce,21,5,0,25,1,9,8,76.19,Crystal Palace,11,2,8,3,4231,2,1,8,7,65.67,4,5,Stoke City,Mark Hughes,14,4,4,6.16,2,29,2,0,5,3,0.66,bet365 Stadium,16,14,68.53,11-02-17,27,6.52,16,85.42,0.43,6,EPL
1797,1797,7,2,13,76.95,6.75,78.57,4,"Fraser Forster,Cédric Soares,Maya Yoshida,Jack Stephens,Ryan Bertrand,Oriol Romeu,Steven Davis,James Ward-Prowse,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini",1,5,33.33,12,27,6.05,8,3,5,0.54,3,2,6,87.5,6,19,4,0,3,41.67,"Vito Mannone,Jason Denayer,John O'Shea,Lamine Koné,Billy Jones,Bryan Oviedo,Didier Ndong,Darron Gibson,Sebastian Larsson,Adnan Januzaj,Jermain Defoe",67.94,3,5,27,2,14,58.33,4,3511,9,3,Paul Tierney,1,0.46,19,2,Claude Puel,20,6,0,75,0,8,7,78.79,Southampton,16,2,7,0,4231,1,3,5,6,70.8,5,2,Sunderland,David Moyes,15,1,3,6.31,0,21,1,4,0,1,0.46,Stadium of Light,8,12,68.55,11-02-17,30,6.09,14,73.15,0.54,15,EPL
1894,1894,10,6,7,52.82,6.54,69.23,6,"Ben Foster,Nyom,Craig Dawson,Gareth McAuley,Chris Brunt,Jake Livermore,Darren Fletcher,Matt Phillips,James Morrison,Nacer Chadli,Salomón Rondón",1,5,50,7,32,6,3,2,2,0.34,12,2,11,70.83,7,17,8,3,5,60,"Darren Randolph,Cheikhou Kouyaté,Winston Reid,José Fonte,Aaron Cresswell,Pedro Obiang,Mark Noble,Sofiane Feghouli,Robert Snodgrass,Manuel Lanzini,Michail Antonio",49.34,3,7,32,4,6,68.75,3,4231,7,4,Michael Oliver,4,0.65,17,1,Tony Pulis,13,11,0,50,2,15,10,65.22,West Bromwich Albion,12,1,10,0,4231,1,3,7,16,75.64,3,5,West Ham United,Slaven Bilic,14,4,8,6.42,2,23,4,2,5,3,0.66,London Stadium,16,7,71.69,11-02-17,28,6.27,16,52.94,0.35,8,EPL
1561,1561,15,5,7,78.05,6.52,86.27,9,"Thibaut Courtois,David Luiz,César Azpilicueta,Gary Cahill,Victor Moses,N'Golo Kanté,Nemanja Matic,Marcos Alonso,Pedro,Diego Costa,Eden Hazard",3,6,25,12,30,6.14,2,6,8,0.71,4,2,22,92.86,1,11,2,1,0,50,"Tom Heaton,Matthew Lowton,Ben Mee,Michael Keane,Stephen Ward,George Boyd,Ashley Westwood,Joey Barton,Robbie Brady,Andre Gray,Ashley Barnes",78.99,8,5,30,1,9,50,4,442,5,6,Kevin Friend,1,0.28,11,1,Antonio Conte,17,22,1,87.5,1,8,4,81.25,Chelsea,10,0,4,3,343,0,8,5,7,52.04,6,1,Burnley,Sean Dyche,11,4,3,6.36,1,32,1,1,4,3,0.29,Turf Moor,25,19,53.83,12-02-17,18,6.32,8,37.68,0.72,13,EPL
1810,1810,12,5,7,58.91,6.16,42.11,9,"Kasper Schmeichel,Danny Simpson,Robert Huth,Wes Morgan,Christian Fuchs,Riyad Mahrez,Wilfred Ndidi,Daniel Drinkwater,Marc Albrighton,Jamie Vardy,Demarai Gray",4,5,78.57,7,63,6.25,1,4,0,0.39,9,0,11,50,7,27,1,2,4,75,"Lukasz Fabianski,Kyle Naughton,Federico Fernández,Alfie Mawson,Martin Olsson,Leroy Fer,Jack Cork,Tom Carroll,Nathan Dyer,Fernando Llorente,Gylfi Sigurdsson",52.89,2,5,63,1,7,85,3,433,4,3,Jonathan Moss,6,0.49,27,0,Claudio Ranieri,11,11,2,21.43,2,13,8,68.42,Leicester City,15,0,8,2,442,0,2,7,10,54.36,4,3,Swansea City,Paul Clement,14,4,8,6.11,0,31,6,0,5,0,0.61,Liberty Stadium,24,3,66.51,12-02-17,26,6.65,11,67.39,0.51,9,EPL
1548,1548,14,2,11,76.02,6.54,75,9,"Willy Caballero,Bacary Sagna,Aleksandar Kolarov,John Stones,Fernandinho,Kevin De Bruyne,David Silva,Yaya Touré,Raheem Sterling,Gabriel Jesus,Leroy Sané",3,11,60,8,22,6.14,5,4,7,0.62,3,4,15,45.45,3,13,4,4,1,69.05,"Artur Boruc,Adam Smith,Simon Francis,Steve Cook,Charlie Daniels,Andrew Surman,Jordon Ibe,Harry Arter,Jack Wilshere,Ryan Fraser,Joshua King",75.45,7,2,22,2,12,50,7,4141,3,5,Neil Swarbrick,7,0.38,13,1,Josep Guardiola,9,15,0,77.78,0,15,16,50,Manchester City,11,2,16,0,433,0,7,4,5,70.12,4,7,AFC Bournemouth,Eddie Howe,11,1,13,6.24,0,31,7,2,1,2,0.38,Vitality Stadium,20,11,64.98,13-02-17,36,6.25,25,51.85,0.62,17,EPL
1591,1591,10,7,7,63.4,6.28,61.11,6,"Lukasz Fabianski,Kyle Naughton,Federico Fernández,Alfie Mawson,Martin Olsson,Leroy Fer,Jack Cork,Tom Carroll,Wayne Routledge,Fernando Llorente,Gylfi Sigurdsson",0,1,81.25,11,24,6.3,2,0,4,0.32,14,0,7,35,8,7,5,1,5,75,"Thibaut Courtois,David Luiz,César Azpilicueta,Gary Cahill,Victor Moses,N'Golo Kanté,Cesc Fàbregas,Marcos Alonso,Pedro,Diego Costa,Eden Hazard",72.15,3,2,24,2,2,68.75,1,343,11,4,Neil Swarbrick,10,0.66,7,1,Paul Clement,20,7,1,50,3,15,19,43.75,Swansea City,7,0,19,2,433,0,3,9,16,81.2,4,1,Chelsea,Antonio Conte,14,5,13,6.08,1,18,10,1,5,1,0.68,Stamford Bridge,11,7,79.65,25-02-17,32,6.57,25,65.28,0.34,3,EPL
1606,1606,7,9,9,65.88,6.27,71.43,5,"Víctor Valdés,Fabio,Bernardo,Ben Gibson,Daniel Ayala,Stewart Downing,Marten de Roon,Gastón Ramírez,Adam Forshaw,Álvaro Negredo,Cristhian Stuani",0,2,38.1,13,43,6.26,4,1,5,0.49,13,0,12,75.76,4,19,5,1,2,43.86,"Wayne Hennessey,Joel Ward,Mamadou Sakho,James Tomkins,Patrick van Aanholt,Luka Milivojevic,Andros Townsend,Yohan Cabaye,Jason Puncheon,Wilfried Zaha,Christian Benteke",63.21,3,5,43,2,8,57.14,1,4141,1,2,Robert Madley,4,0.46,19,0,Aitor Karanka,12,12,1,60,1,14,13,68.97,Middlesbrough,11,0,13,3,532,0,3,6,15,65.46,9,2,Crystal Palace,Sam Allardyce,15,3,9,6.13,2,25,4,0,8,2,0.51,Selhurst Park,16,12,69.85,25-02-17,37,6.53,26,52.38,0.54,11,EPL
