,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
1064,1064,3,6,7,67.07,6.5,37.5,0,"Lukasz Fabianski,Angel Rangel,Jordi Amat,Ashley Williams,Neil Taylor,Jonjo Shelvey,Ki Sung-yueng,Nathan Dyer,Gylfi Sigurdsson,Wayne Routledge,Wilfried Bony",0,2,60,14,30,6.15,4,1,10,41.81,11,2,4,72.73,4,12,4,0,2,63.89,"David de Gea,Phil Jones,Tyler Blackett,Chris Smalling,Jesse Lingard,Ander Herrera,Darren Fletcher,Ashley Young,Juan Mata,Chicharito,Wayne Rooney",72.27,0,6,30,2,5,100,2,3412,10,3,Mike Dean,3,60.06,12,1,Garry Monk,17,4,0,0,1,11,13,60.71,Swansea City,11,1,13,3,4231,0,0,8,14,82.44,6,0,Manchester United,Louis Van Gaal,20,5,5,6.3,0,17,3,2,5,1,58.19,Old Trafford,10,17,81.26,16-08-14,32,6.34,21,80,39.94,5,EPL
1065,1065,8,4,6,75.69,6.41,57.69,6,"Tim Howard,John Stones,Sylvain Distin,Phil Jagielka,Leighton Baines,James McCarthy,Gareth Barry,Aiden McGeady,Steven Naismith,Steven Pienaar,Romelu Lukaku",4,11,16.67,16,41,6.23,3,5,6,63.95,6,3,9,95,3,17,3,4,2,64.29,"Kasper Schmeichel,Ritchie de Laet,Wes Morgan,Liam Moore,Paul Konchesky,Riyad Mahrez,Daniel Drinkwater,Andy King,Anthony Knockaert,Leonardo Ulloa,David Nugent",84.67,3,7,41,0,6,66.67,4,442,3,2,Mike Jones,1,37.66,17,2,Roberto Martinez,5,9,1,50,2,11,6,80.95,Everton,16,0,6,2,4231,0,3,4,11,63.16,8,6,Leicester City,Nigel Pearson,10,3,4,6.18,0,22,1,2,2,0,36.05,King Power Stadium,16,18,70.28,16-08-14,25,6.34,9,61.76,62.34,13,EPL
1066,1066,7,9,10,63.12,6.53,42.86,2,"Allan McGregor,Curtis Davies,James Chester,Alex Bruce,Ahmed Elmohamady,Tom Huddlestone,Jake Livermore,Andrew Robertson,Tom Ince,Robert Snodgrass,Nikica Jelavic",2,3,41.67,10,45,6.29,4,4,9,50.23,14,0,4,72.22,8,25,6,4,3,42.31,"Robert Green,Richard Dunne,Rio Ferdinand,Steven Caulker,Danny Simpson,Armand Traore,Alejandro Faurlin,Joey Barton,Jordon Mutch,Loïc Remy,Charlie Austin",59.1,0,5,45,3,9,100,3,352,6,5,Craig Pawson,3,49.68,25,0,Steve Bruce,13,4,0,0,0,12,8,72.37,Hull,9,2,8,3,3421,1,0,4,19,69.43,4,9,QPR,Harry Redknapp,10,6,7,6.2,0,18,3,1,7,0,49.77,Loftus Road Stadium,8,13,68.05,16-08-14,25,6.45,16,81.25,50.32,11,EPL
1067,1067,15,4,17,57.11,6.35,31.82,7,"Brad Guzan,Alan Hutton,Ron Vlaar,Philippe Senderos,Aly Cissokho,Fabian Delph,Ashley Westwood,Charles N'Zogbia,Kieran Richardson,Andreas Weimann,Gabriel Agbonlahor",2,4,60,14,39,6.25,1,2,12,43.44,10,0,4,72.73,2,18,6,2,0,50,"Asmir Begovic,Phil Bardsley,Marc Wilson,Ryan Shawcross,Erik Pieters,Steven N'Zonzi,Glenn Whelan,Bojan,Stephen Ireland,Marko Arnautovic,Mame Biram Diouf",60.05,2,6,39,0,5,88.46,3,4231,8,8,Anthony Taylor,5,59.68,18,0,Paul Lambert,14,4,0,30,0,14,9,71.74,Aston Villa,11,1,9,2,4231,1,2,4,12,78.19,8,8,Stoke City,Mark Hughes,9,2,8,6.12,1,31,5,1,4,1,56.56,Britannia Stadium,14,17,77.9,16-08-14,28,6.45,17,88,40.32,7,EPL
1068,1068,9,7,10,63.26,6.56,43.18,5,"Vito Mannone,Wes Brown,Valentin Roberge,John O'Shea,Patrick van Aanholt,Lee Cattermole,Adam Johnson,Sebastian Larsson,Jack Rodwell,Connor Wickham,Steven Fletcher",1,3,83.33,18,31,5.97,2,3,5,40.76,8,1,8,82.14,6,16,0,0,4,56.25,"Ben Foster,Andre Wisdom,Jonas Olsson,Craig Dawson,Sébastien Pocognoli,Graham Dorrans,Youssouf Mulumbu,Craig Gardner,Chris Brunt,Saido Berahino,Victor Anichebe",59.84,3,12,31,0,4,68.75,1,4411,12,4,Neil Swarbrick,3,53.36,16,1,Gus Poyet,22,8,1,62.5,2,16,5,86.67,Sunderland,25,3,5,3,4141,0,3,3,10,66.28,9,3,West Bromwich Albion,Alan Irvine,9,5,4,6.43,0,26,3,2,5,0,59.24,The Hawthorns,16,11,71.21,16-08-14,34,6.23,9,77.38,46.64,7,EPL
1069,1069,13,11,12,68.15,6.33,61.54,7,"Hugo Lloris,Kyle Naughton,Younes Kaboul,Eric Dier,Danny Rose,Nabil Bentaleb,Etienne Capoue,Christian Eriksen,Erik Lamela,Aaron Lennon,Emmanuel Adebayor",0,2,25,12,27,6.24,4,4,10,45.99,13,1,9,90.91,8,12,4,1,5,34.62,"Adrián,Joey O'Brien,Winston Reid,James Collins,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Stewart Downing,Kevin Nolan,Ricardo Vaz Te,Carlton Cole",65.63,4,8,27,3,8,78.33,1,4231,6,6,Chris Foy,1,48.94,12,0,Mauricio Pochettino,11,9,0,50,0,12,5,77.5,Tottenham Hotspur,10,0,5,1,4231,0,4,6,18,71.14,5,5,West Ham United,Sam Allardyce,10,4,4,6.18,0,26,1,1,9,1,54.01,Boleyn Ground,14,19,71.94,16-08-14,24,6.43,14,67.42,51.06,10,EPL
1070,1070,18,8,9,44.89,6.54,30,13,"Julian Speroni,Martin Kelly,Brede Hangeland,Scott Dann,Joel Ward,Jason Puncheon,Mile Jedinak,Joe Ledley,Yannick Bolasie,Marouane Chamakh,Fraizer Campbell",1,2,15.38,13,40,6.18,2,2,7,26.88,11,1,7,91.67,9,19,3,1,3,34.67,"Wojciech Szczesny,Mathieu Debuchy,Laurent Koscielny,Calum Chambers,Kieran Gibbs,Mikel Arteta,Alexis Sánchez,Jack Wilshere,Aaron Ramsey,Santiago Cazorla,Yaya Sanogo",55.22,3,7,40,3,3,84.62,1,4141,12,5,Jonathan Moss,2,73.72,19,1,Keith Millen,19,7,1,25,2,21,12,75.25,Crystal Palace,11,1,12,2,4411,1,3,8,14,82.49,7,3,Arsenal,Arsène Wenger,19,6,14,6.31,0,33,2,1,6,0,73.12,Emirates Stadium,24,16,82.92,16-08-14,45,6.45,34,80,26.28,4,EPL
1071,1071,11,7,12,67.18,6.39,72.73,6,"Fraser Forster,Nathaniel Clyne,Maya Yoshida,Jose Fonte,Ryan Bertrand,Morgan Schneiderlin,Victor Wanyama,Steven Davis,James Ward-Prowse,Graziano Pellè,Dusan Tadic",0,3,45,8,37,6.37,6,2,5,44.73,10,2,10,77.78,2,12,2,3,2,50.88,"Simon Mignolet,Javier Manquillo,Dejan Lovren,Martin Skrtel,Glen Johnson,Lucas Leiva,Steven Gerrard,Jordan Henderson,Philippe Coutinho,Raheem Sterling,Daniel Sturridge",67.1,4,11,37,1,9,56.25,2,4231,8,5,Mark Clattenburg,6,53.53,12,0,Ronald Koeman,19,10,1,70,2,24,15,75.25,Southampton,23,2,15,3,433,2,4,6,12,76.94,5,6,Liverpool,Brendan Rodgers,11,5,13,6.13,0,26,6,1,5,2,55.27,Anfield,14,17,86.45,17-08-14,50,6.66,27,62.5,46.47,12,EPL
1072,1072,13,4,16,77.56,6.57,46.15,5,"Joe Hart,Gaël Clichy,Martín Demichelis,Vincent Kompany,Aleksandar Kolarov,Samir Nasri,Fernando,Yaya Touré,David Silva,Edin Dzeko,Stevan Jovetic",2,5,50,8,30,6.24,5,3,9,52.14,9,3,6,65.62,3,11,3,2,0,59.09,"Tim Krul,Daryl Janmaat,Fabricio Coloccini,Mike Williamson,Paul Dummett,Vurnon Anita,Rémy Cabella,Moussa Sissoko,Jack Colback,Yoan Gouffran,Emmanuel Rivière",82.01,1,8,30,0,11,91.67,5,4141,4,8,Martin Atkinson,6,50.38,11,1,Manuel Pellegrini,15,6,0,20,0,20,14,67.71,Manchester City,19,0,14,0,442,0,1,3,12,77.39,5,3,Newcastle United,Alan Pardew,11,0,12,6.27,0,29,6,2,4,0,47.86,St. James' Park,13,14,80.66,17-08-14,43,6.34,24,76.92,49.62,13,EPL
1053,1053,16,5,4,67.38,6.76,60.71,13,"Thibaut Courtois,Branislav Ivanovic,John Terry,Gary Cahill,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,André Schürrle,Oscar,Eden Hazard,Diego Costa",3,8,50,6,47,6.13,3,4,5,57.37,7,3,12,83.33,4,21,1,3,2,25,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Ben Mee,Scott Arfield,Dean Marney,David Jones,Matthew Taylor,Danny Ings,Lukas Jutkiewicz",71.39,7,4,47,1,9,60,7,4411,5,3,Michael Oliver,1,43.77,21,3,José Mourinho,17,12,1,50,1,6,3,85.71,Chelsea,10,1,3,1,4231,0,7,4,9,58.62,3,3,Burnley,Sean Dyche,7,2,2,6.39,2,24,1,3,4,3,42.63,Turf Moor,20,11,57.78,18-08-14,22,6.18,12,50,56.23,11,EPL
1054,1054,10,8,7,74,6.33,36.67,5,"Tim Krul,Daryl Janmaat,Fabricio Coloccini,Mike Williamson,Paul Dummett,Vurnon Anita,Jack Colback,Rémy Cabella,Moussa Sissoko,Yoan Gouffran,Emmanuel Rivière",1,6,33.33,11,34,6.19,4,2,4,55.87,6,2,6,75,7,18,4,2,3,59.09,"Brad Guzan,Alan Hutton,Ron Vlaar,Philippe Senderos,Aly Cissokho,Ashley Westwood,Kieran Richardson,Fabian Delph,Charles N'Zogbia,Gabriel Agbonlahor,Andreas Weimann",76.21,1,1,34,3,11,90,5,433,5,5,Mike Dean,2,41.72,18,0,Alan Pardew,10,6,0,20,0,5,8,62.5,Newcastle United,7,0,8,0,4231,0,1,2,10,65.49,4,7,Aston Villa,Paul Lambert,8,0,4,6.15,0,23,2,0,4,4,44.13,Villa Park,16,11,72.8,23-08-14,20,6.35,13,75,58.28,11,EPL
1055,1055,13,9,9,61.47,6.39,28.12,9,"Kasper Schmeichel,Ritchie de Laet,Wes Morgan,Liam Moore,Paul Konchesky,Riyad Mahrez,Dean Hammond,Andy King,Jeffrey Schlupp,Leonardo Ulloa,David Nugent",2,3,37.5,11,42,6.26,4,2,2,46.41,21,1,6,73.53,8,30,8,3,4,48.89,"Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,André Schürrle,Oscar,Eden Hazard,Diego Costa",70.33,3,6,42,4,6,80,3,4231,7,4,Lee Mason,6,60.26,30,0,Nigel Pearson,15,6,0,35.71,2,20,22,62.39,Leicester City,10,2,22,0,442,1,3,7,27,79.17,6,7,Chelsea,José Mourinho,11,10,14,6.25,1,29,6,0,6,2,53.59,Stamford Bridge,20,5,72.08,23-08-14,50,6.68,40,83.75,39.74,6,EPL
1056,1056,19,2,20,67.58,6.72,42.86,10,"Adrián,Joey O'Brien,Winston Reid,James Tomkins,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Stewart Downing,Mauro Zárate,Ricardo Vaz Te,Carlton Cole",4,12,11.11,14,52,6.21,8,5,6,56.06,8,6,6,88.89,6,26,2,6,1,35.29,"Julian Speroni,Martin Kelly,Damien Delaney,Brede Hangeland,Joel Ward,Barry Bannan,Mile Jedinak,Stuart O'Keefe,Yannick Bolasie,Marouane Chamakh,Fraizer Campbell",73.47,4,0,52,1,14,78.12,10,4411,6,9,Mark Clattenburg,1,47.6,26,2,Sam Allardyce,15,6,0,44.44,1,9,7,78.99,West Ham United,10,3,7,1,4231,2,4,6,9,62.64,8,9,Crystal Palace,Keith Millen,11,4,9,6.36,0,35,1,3,2,1,43.94,Selhurst Park,15,13,64.11,23-08-14,30,6.34,20,83.33,52.4,17,EPL
1057,1057,14,3,20,64.06,6.32,66.67,3,"Ben Foster,Andre Wisdom,Jonas Olsson,Craig Dawson,Sébastien Pocognoli,Saido Berahino,Youssouf Mulumbu,Craig Gardner,Chris Brunt,Graham Dorrans,Victor Anichebe",1,2,40,14,24,6.2,2,2,6,41.69,8,0,5,88.89,1,14,2,3,0,42.86,"Fraser Forster,Nathaniel Clyne,Maya Yoshida,Jose Fonte,Ryan Bertrand,Morgan Schneiderlin,Victor Wanyama,Steven Davis,James Ward-Prowse,Dusan Tadic,Graziano Pellè",61.84,3,8,24,1,5,81.82,2,4231,6,11,Roger East,2,53.9,14,0,Alan Irvine,17,5,0,100,0,13,3,88.24,West Bromwich Albion,15,1,3,1,4411,1,3,7,9,72.39,6,5,Southampton,Ronald Koeman,15,2,5,6.18,1,27,2,0,3,1,58.31,St. Mary's Stadium,7,14,77.39,23-08-14,22,6.4,7,82.61,46.1,8,EPL
1058,1058,12,6,13,69.65,6.31,50,2,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Ben Mee,Scott Arfield,David Jones,Dean Marney,Matthew Taylor,Danny Ings,Lukas Jutkiewicz",1,3,22.73,14,41,6.4,1,5,6,40.44,6,0,3,80.77,2,23,2,1,1,26.47,"Lukasz Fabianski,Angel Rangel,Jordi Amat,Ashley Williams,Neil Taylor,Jonjo Shelvey,Ki Sung-yueng,Nathan Dyer,Gylfi Sigurdsson,Wayne Routledge,Wilfried Bony",63.01,1,3,41,1,7,95,3,4231,9,10,Craig Pawson,4,50.84,23,0,Sean Dyche,13,3,1,50,1,16,6,79.55,Burnley,6,1,6,4,4411,0,1,5,10,71.85,2,3,Swansea City,Garry Monk,13,5,13,6.2,1,19,4,0,5,3,59.56,Liberty Stadium,6,11,81.03,23-08-14,25,6.61,19,85.29,49.16,12,EPL
1059,1059,11,6,5,75.37,6.17,31.67,9,"Wojciech Szczesny,Mathieu Debuchy,Per Mertesacker,Calum Chambers,Nacho Monreal,Mathieu Flamini,Alex Oxlade-Chamberlain,Jack Wilshere,Aaron Ramsey,Mesut Özil,Alexis Sánchez",0,5,14.29,10,20,6.24,3,1,9,46.99,6,0,7,90.91,3,9,2,0,1,30.77,"Tim Howard,Seamus Coleman,Sylvain Distin,Phil Jagielka,Leighton Baines,James McCarthy,Gareth Barry,Kevin Mirallas,Steven Naismith,Steven Pienaar,Romelu Lukaku",76.28,3,4,20,1,10,77.78,3,4231,5,2,Kevin Friend,2,46.3,9,0,Arsène Wenger,19,7,2,28.57,2,12,7,78.95,Arsenal,6,0,7,2,4141,0,3,8,8,63.77,3,3,Everton,Roberto Martinez,18,2,8,6.09,0,26,2,2,4,2,53.01,Goodison Park,21,13,76.91,23-08-14,22,6.56,16,76.25,53.7,13,EPL
1060,1060,16,6,9,77.18,6.41,41.18,8,"Asmir Begovic,Phil Bardsley,Marc Wilson,Ryan Shawcross,Erik Pieters,Glenn Whelan,Steve Sidwell,Peter Odemwingie,Steven N'Zonzi,Marko Arnautovic,Mame Biram Diouf",3,7,50,10,51,6.17,3,5,5,54.92,5,0,7,75,4,19,4,3,1,56.67,"Allan McGregor,Paul McShane,Curtis Davies,James Chester,Ahmed Elmohamady,Andrew Robertson,Stephen Quinn,Jake Livermore,Tom Huddlestone,Nikica Jelavic,Tom Ince",77.63,3,4,51,3,10,80.77,4,352,8,8,Jonathan Moss,2,44.51,19,0,Mark Hughes,13,7,1,37.5,1,8,7,75,Stoke City,11,2,7,2,4231,1,3,9,9,58.42,4,5,Hull,Steve Bruce,10,2,4,6.22,0,26,2,1,3,0,45.08,The KC Stadium,17,11,74.39,24-08-14,23,6.41,12,71.74,55.49,19,EPL
1061,1061,11,11,9,67.49,5.91,16.67,7,"Robert Green,Richard Dunne,Rio Ferdinand,Steven Caulker,Mauricio Isla,Armand Traore,Leroy Fer,Joey Barton,Jordon Mutch,Loïc Remy,Matthew Phillips",0,2,42.31,12,16,6.55,1,1,7,31.98,14,0,3,69.44,7,10,7,1,4,48,"Hugo Lloris,Eric Dier,Jan Vertonghen,Younes Kaboul,Danny Rose,Nabil Bentaleb,Etienne Capoue,Erik Lamela,Christian Eriksen,Nacer Chadli,Emmanuel Adebayor",58.9,2,6,16,4,6,83.33,1,4231,7,4,Anthony Taylor,7,61.84,10,0,Harry Redknapp,18,3,3,28.57,4,21,15,64.52,QPR,9,4,15,4,352,2,2,2,18,83.99,5,6,Tottenham Hotspur,Mauricio Pochettino,6,5,15,5.93,0,27,7,0,9,1,68.02,White Hart Lane,18,17,88.27,24-08-14,39,6.97,30,89.58,38.16,9,EPL
1062,1062,15,6,8,79.26,6.43,58.33,11,"David de Gea,Phil Jones,Tyler Blackett,Chris Smalling,Antonio Valencia,Tom Cleverley,Darren Fletcher,Ashley Young,Juan Mata,Robin van Persie,Wayne Rooney",0,3,81.25,10,22,6.18,3,3,5,50.89,10,1,13,50,4,12,2,1,1,61.76,"Vito Mannone,Santiago Vergini,John O'Shea,Wes Brown,Patrick van Aanholt,Sebastian Larsson,Jack Rodwell,Lee Cattermole,William Buckley,Steven Fletcher,Connor Wickham",79.19,6,7,22,1,6,65.38,1,433,10,4,Martin Atkinson,7,48.01,12,1,Louis Van Gaal,18,13,1,50,1,16,12,65.43,Manchester United,15,1,12,2,3412,0,6,8,11,78.33,6,4,Sunderland,Gus Poyet,15,3,9,6.28,1,30,7,1,6,1,49.11,Stadium of Light,22,9,83.34,24-08-14,35,6.41,20,59.62,51.99,10,EPL
1042,1042,12,4,5,79.55,6.22,45.83,10,"Simon Mignolet,Glen Johnson,Dejan Lovren,Martin Skrtel,Alberto Moreno,Jordan Henderson,Steven Gerrard,Joe Allen,Raheem Sterling,Daniel Sturridge,Philippe Coutinho",3,5,75,13,15,6.21,3,4,7,49.89,7,1,9,70,6,6,1,4,2,50,"Joe Hart,Pablo Zabaleta,Martín Demichelis,Vincent Kompany,Gaël Clichy,Samir Nasri,Fernando,Yaya Touré,David Silva,Stevan Jovetic,Edin Dzeko",84,6,7,15,0,9,50,3,4411,9,2,Michael Oliver,3,49.95,6,0,Brendan Rodgers,13,9,1,55.56,3,11,4,81.58,Liverpool,13,1,4,2,433,0,6,5,9,73.31,9,7,Manchester City,Manuel Pellegrini,7,4,4,6.23,0,25,3,1,2,1,50.11,Etihad Stadium,20,10,73.09,25-08-14,21,6.54,8,61.4,50.05,11,EPL
763,763,13,6,9,71.98,6.45,52.94,9,"David de Gea,Phil Jones,Tyler Blackett,Jonny Evans,Antonio Valencia,Ángel Di María,Darren Fletcher,Ashley Young,Juan Mata,Robin van Persie,Wayne Rooney",0,1,37.5,10,37,6.24,2,2,6,58.45,5,1,12,83.33,3,20,2,1,2,26.92,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Ben Mee,Scott Arfield,Dean Marney,David Jones,Matthew Taylor,Danny Ings,Lukas Jutkiewicz",71.89,5,7,37,2,6,62.5,1,442,15,4,Chris Foy,2,37.28,20,0,Louis Van Gaal,22,12,0,56.25,0,12,4,84.26,Manchester United,11,1,4,2,3412,1,5,10,9,56.74,5,6,Burnley,Sean Dyche,14,3,5,6.23,1,31,2,0,3,2,41.55,Turf Moor,22,12,57.52,30-08-14,25,6.47,14,62.5,62.72,7,EPL
1043,1043,14,3,13,76.57,6.48,10,5,"Fraser Forster,Nathaniel Clyne,Maya Yoshida,Jose Fonte,Ryan Bertrand,Morgan Schneiderlin,James Ward-Prowse,Steven Davis,Shane Long,Graziano Pellè,Dusan Tadic",1,6,100,11,28,6.34,8,6,8,60.39,2,2,1,78.57,2,18,1,4,2,18.18,"Adrián,Joey O'Brien,Winston Reid,James Tomkins,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Stewart Downing,Mauro Zárate,Ricardo Vaz Te,Carlton Cole",74.11,1,6,28,1,14,92.31,5,4231,4,9,Mike Dean,2,38.8,18,1,Ronald Koeman,9,1,1,20,1,8,2,93.48,Southampton,14,2,2,2,433,1,1,5,4,61.95,4,9,West Ham United,Sam Allardyce,13,2,2,6.12,1,25,2,3,1,2,39.61,Boleyn Ground,12,11,57.68,30-08-14,26,6.43,12,95.24,61.2,18,EPL
1044,1044,8,3,7,56.62,6.55,64.29,6,"Asmir Begovic,Phil Bardsley,Marc Wilson,Ryan Shawcross,Erik Pieters,Jonathan Walters,Steven N'Zonzi,Glenn Whelan,Victor Moses,Mame Biram Diouf,Peter Crouch",0,3,75,14,30,6.16,2,1,8,34.82,14,1,13,65.62,11,11,9,1,3,59.38,"Joe Hart,Bacary Sagna,Martín Demichelis,Vincent Kompany,Aleksandar Kolarov,Samir Nasri,Fernando,Yaya Touré,David Silva,Stevan Jovetic,Sergio Agüero",62.99,3,10,30,1,7,70,3,4411,11,2,Lee Mason,8,65.47,11,0,Mark Hughes,28,13,0,50,0,21,11,74.4,Stoke City,17,2,11,1,4411,1,3,4,16,80.21,6,4,Manchester City,Manuel Pellegrini,5,2,11,6.21,1,27,8,1,3,1,65.18,Etihad Stadium,20,15,78.08,30-08-14,35,6.28,18,57.89,34.53,7,EPL
1045,1045,11,8,9,57.38,6.57,56.67,9,"Julian Speroni,Adrian Mariappa,Damien Delaney,Scott Dann,Martin Kelly,Jason Puncheon,Mile Jedinak,Joel Ward,Yannick Bolasie,Marouane Chamakh,Dwight Gayle",0,4,37.5,12,53,6.11,7,1,4,33.59,11,2,12,70,11,31,4,3,8,61.11,"Tim Krul,Daryl Janmaat,Fabricio Coloccini,Mike Williamson,Massadio Haidara,Moussa Sissoko,Jack Colback,Rémy Cabella,Siem de Jong,Yoan Gouffran,Emmanuel Rivière",54.68,5,3,53,2,9,52.38,2,4231,4,2,Mike Jones,3,60.87,31,1,Neil Warnock,12,12,1,57.14,3,11,11,60.26,Crystal Palace,13,2,11,1,4411,0,5,14,18,76.32,5,4,Newcastle United,Alan Pardew,19,4,8,6.38,0,30,3,3,5,0,66.41,St. James' Park,21,11,81.95,30-08-14,31,6.36,18,64.39,39.13,12,EPL
1046,1046,16,10,11,78.37,6.49,41.11,12,"Vito Mannone,Santiago Vergini,John O'Shea,Wes Brown,Patrick van Aanholt,Sebastian Larsson,Jack Rodwell,Lee Cattermole,Adam Johnson,Steven Fletcher,Connor Wickham",1,6,43.06,8,30,6.24,6,5,3,48.6,16,1,9,64.29,4,18,6,2,3,47.92,"Robert Green,Mauricio Isla,Rio Ferdinand,Steven Caulker,Clint Hill,Matthew Phillips,Joey Barton,Jordon Mutch,Junior Hoilett,Leroy Fer,Charlie Austin",72.9,5,3,30,5,12,68.18,6,4411,6,4,Robert Madley,7,42.59,18,0,Gus Poyet,9,9,1,43.75,1,19,10,65.83,Sunderland,9,0,10,2,433,0,5,4,18,67.42,5,6,QPR,Harry Redknapp,9,5,16,6.37,0,32,7,0,8,0,51.4,Loftus Road Stadium,21,11,75.78,30-08-14,31,6.62,22,73.19,57.41,16,EPL
1047,1047,10,8,12,75.71,5.89,40,3,"Ben Foster,Andre Wisdom,Jonas Olsson,Craig Dawson,Jason Davidson,Saido Berahino,Youssouf Mulumbu,Craig Gardner,Chris Brunt,Graham Dorrans,Brown Ideye",1,4,62.5,10,22,6.63,2,7,14,38.09,10,1,3,75,0,10,0,0,0,45.83,"Lukasz Fabianski,Angel Rangel,Jordi Amat,Ashley Williams,Neil Taylor,Jonjo Shelvey,Ki Sung-yueng,Nathan Dyer,Gylfi Sigurdsson,Wayne Routledge,Wilfried Bony",67.72,1,7,22,0,11,94.44,3,4231,6,7,Paul Tierney,4,50.42,10,0,Alan Irvine,15,3,2,25,3,13,8,75,West Bromwich Albion,13,1,8,4,4411,1,1,4,15,79.12,4,7,Swansea City,Garry Monk,8,8,6,5.78,2,19,4,0,4,2,61.91,Liberty Stadium,7,19,84.46,30-08-14,29,6.91,16,88.24,49.58,16,EPL
1048,1048,11,7,6,59.48,6.88,47.06,8,"Thibaut Courtois,Branislav Ivanovic,John Terry,Gary Cahill,César Azpilicueta,Ramires,Nemanja Matic,Willian,Cesc Fàbregas,Eden Hazard,Diego Costa",3,5,61.67,7,25,5.88,8,3,5,44.23,14,2,9,64.58,8,16,6,1,3,48.41,"Tim Howard,Seamus Coleman,Sylvain Distin,Phil Jagielka,Leighton Baines,James McCarthy,Gareth Barry,Kevin Mirallas,Steven Naismith,Aiden McGeady,Romelu Lukaku",54.33,4,7,25,2,11,61.11,4,4231,6,3,Jonathan Moss,8,60.84,16,2,José Mourinho,15,9,1,50,3,20,13,73.15,Chelsea,17,1,13,2,4231,1,4,5,16,80.08,5,2,Everton,Roberto Martinez,16,6,13,6.68,7,25,8,6,7,8,55.77,Goodison Park,19,10,78.74,30-08-14,43,6.21,26,63.64,39.16,12,EPL
1049,1049,14,4,11,58.26,6.78,50,7,"Simon Mignolet,Javier Manquillo,Dejan Lovren,Mamadou Sakho,Alberto Moreno,Steven Gerrard,Jordan Henderson,Joe Allen,Raheem Sterling,Mario Balotelli,Daniel Sturridge",0,8,25,14,17,6.09,8,1,9,45.26,6,3,8,88.24,7,8,2,1,4,39.47,"Hugo Lloris,Eric Dier,Jan Vertonghen,Younes Kaboul,Danny Rose,Nabil Bentaleb,Etienne Capoue,Erik Lamela,Christian Eriksen,Nacer Chadli,Emmanuel Adebayor",56.6,3,9,17,0,11,78.57,6,4231,6,7,Phil Dowd,2,61.76,8,1,Brendan Rodgers,14,8,0,42.86,0,17,10,76.88,Liverpool,15,1,10,1,41212,0,3,5,7,78.04,7,3,Tottenham Hotspur,Mauricio Pochettino,11,1,8,6.44,2,25,2,3,4,3,54.74,White Hart Lane,14,16,73.51,31-08-14,38,6.1,23,75,38.24,17,EPL
